DateTime,USD_Position,USD_Return,rf_daily
2007-01-02,,,0.0001962756433240287
2007-01-03,0.0,0.008653861143180341,0.0001955200691088343
2007-01-04,0.0,0.004766462519143921,0.0001951422282697735
2007-01-05,1.0,0.003676441647482376,0.0001955200691088343
2007-01-08,1.0,-0.0003544698129558377,0.0001966533767139289
2007-01-09,1.0,0.001654839150987186,0.0001966533767139289
2007-01-10,1.0,0.00401231975284877,0.0001970310743006909
2007-01-11,1.0,0.00270328775962847,0.0001977863620929998
2007-01-12,1.0,-0.003282133247097585,0.0001970310743006909
2007-01-16,1.0,0.0002352613518536995,0.0001977863620929998
2007-01-17,1.0,-0.0008230416497647663,0.0001981639523118695
2007-01-18,1.0,-0.0008237196053076934,0.0001981639523118695
2007-01-19,1.0,-0.0005888947073514617,0.000198919025429678
2007-01-22,1.0,0.001885411637568613,0.0001985415067551344
2007-01-23,1.0,-0.004116660643853853,0.000198919025429678
2007-01-24,0.0,0.003188901361757202,0.0001985415067551344
2007-01-25,1.0,0.00200139114738751,0.000198919025429678
2007-01-26,0.0,0.001997393581555595,0.0001985415067551344
2007-01-29,1.0,-0.002110697792592875,0.000198919025429678
2007-01-30,1.0,-0.0008225581207913502,0.0001985415067551344
2007-01-31,1.0,-0.004939411677935657,0.0001981639523118695
2007-02-01,0.0,0.0002363390015620581,0.0001985415067551344
2007-02-02,0.0,0.003899348242521139,0.000198919025429678
2007-02-05,1.0,0.001412461721694624,0.0001992965083419396
2007-02-06,1.0,-0.003526128882243462,0.000198919025429678
2007-02-07,0.0,-0.0003538426483700174,0.0001992965083419396
2007-02-08,0.0,-0.0005900065104166297,0.0001996739554988025
2007-02-09,0.0,0.002007152354960962,0.0001992965083419396
2007-02-12,0.0,0.003299148936438012,0.000200428742574088
2007-02-13,1.0,-0.004932450515783837,0.0002000513669073722
2007-02-14,0.0,-0.006255238849203204,0.0001996739554988025
2007-02-15,0.0,-0.002256470533229415,0.0002000513669073722
2007-02-16,0.0,0.0009521985433404989,0.0002000513669073722
2007-02-20,0.0,0.001189274680353014,0.0002008060825058333
